0,Nome da UC,Categoria,CH – Total,Pré-Requisitos,Semestre,,
152,Laboratório de Sistemas Computacionais: Redes de Computadores,Eletiva,36,Redes de Computadores;Laboratório de Sistemas Computacionais: Sistemas Operacionais,nan,,
153,Laboratório de Sistemas Computacionais: Sistemas Operacionais,Eletiva,72,Sistemas Operacionais;Laboratório de Sistemas Computacionais: Sistemas Operacionais,nan,,
154,Laboratório de Usabilidade na Web,Eletiva,72,Programação Orientada a Objetos,nan,,
155,Legislação Ambiental e Políticas Públicas,Eletiva,72,Não há,nan,,
156,Linguagens Formais e Autômatos,Eletiva,72,Matemática Discreta; Lógica de Programação,nan,,
157,Lógica de Programação,Fixa,72,Não há,IMPAR,,
158,Macroeconomia,Eletiva,36,Não há,nan,,
159,Matemática Discreta,Eletiva,72,não há,nan,,
160,Matemática Geral,Eletiva,72,Cálculo em Uma Variável,nan,,
161,Materiais Cerâmicos,Eletiva,72,Ciência e Tecnologia dos Materiais,IMPAR,,
162,Materiais Compósitos,Eletiva,72,Ciência e Tecnologia de Materiais,nan,,
163,Materiais Elétricos,Eletiva,72,Fenômenos Eletromagnéticos,IMPAR,,
164,Materiais Metálicos,Eletiva,72,Ciência e Tecnologia dos Materiais,IMPAR,,
165,Materiais Poliméricos,Eletiva,72,Ciência e Tecnologia de Materiais,IMPAR,,
166,Matérias-Primas Cerâmicas,Eletiva,72,Materiais Cerâmicos,nan,,
167,Mecânica da Fratura,Eletiva,72,Fundamentos de Metalurgia II,nan,,
168,Mecânica Geral,Eletiva,72,Geometria Analítica; Fenômenos Mecânicos,IMPAR,,
169,Metalurgia do Pó,Eletiva,36,Fundamentos de Metalurgia I,IMPAR,,
170,Metalurgia Extrativa,Eletiva,36,Não há,IMPAR,,
171,Metodologia da Pesquisa e Comunicação Científica,Eletiva,36,Não há,nan,,
172,Métodos Avançados em Processamento de Imagens Biomédicas,Eletiva,72,Análise de Sinais,nan,,
173,Métodos Matemáticos,Eletiva,72,Cálculo em Várias Variáveis; Séries e Equações Diferencias Ordinárias,nan,,
174,Métodos Numéricos para Equações Diferenciais,Interdisciplinar,72,Cálculo Numérico; Álgebra Linear; Séries e Equações Diferenciais Ordinárias,nan,,
175,Métodos Probabilísticos em Pesquisa Operacional,Interdisciplinar,72,Probabilidade e Estatística; Otimização Linear,nan,,
176,Microbiologia Aplicada e Industrial,Eletiva,72,Microbiologia Geral,IMPAR,,
177,Microbiologia Geral,Eletiva,72,Não há,nan,,
178,Microeconomia,Eletiva,36,Não há,nan,,
179,Modelagem Computacional,Interdisciplinar,36,Lógica de Programação; Cálculo em Uma Variável,IMPAR,,
180,Modelagem Molecular,Eletiva,72,Biologia Estrutural,IMPAR,,
181,Modelos Animais,Eletiva,72,Biotecnologia Animal,IMPAR,,
182,Modelos Lineares Generalizados,Eletiva,72,Probabilidade,nan,,
183,Mudança do Clima e Sociedade,Interdisciplinar,36,Não há,IMPAR,,
184,Multimídia,Eletiva,72,Algoritmos e Estruturas de Dados I,nan,,
185,Operações Unitárias,Eletiva,72,Fenômenos de Transporte,nan,,
186,Organização Industrial,Eletiva,36,Cálculo em Várias Variáveis,nan,,
187,Otimização Inteira,Interdisciplinar,72,Otimização Linear,nan,,
188,Otimização Linear,Eletiva,72,Geometria Analítica; Lógica de Programação,nan,,
189,Otimização Não Linear,Eletiva,72,Cálculo em Várias Variáveis; Cálculo Numérico,nan,,
190,Paradigmas de Programação,Eletiva,72,Programação Orientada a Objetos,nan,,
191,Planejamento de Experimentos,Eletiva,36,Probabilidade e Estatística,nan,,
192,Política Científica e Tecnológica (PC&T),Eletiva,36,Não há,nan,,
193,Probabilidade,Eletiva,72,Probabilidade e Estatística; Cálculo em Várias Variáveis,nan,,
194,Probabilidade e Estatística,Interdisciplinar,72,Não há,IMPAR,,
195,Processamento de Imagens,Eletiva,72,Algoritmos e Estruturas de Dados I; Séries e Equações Diferenciais Ordinárias,nan,,
196,Processamento de Materiais,Eletiva,72,Não há,nan,,
197,Processamento de Materiais Cerâmicos,Eletiva,72,Materiais Cerâmicos,nan,,
198,Processamento de Materiais Metálicos,Eletiva,72,Fundamentos de Metalurgia I; Fundamentos de Metalurgia II,IMPAR,,
199,Processamento de Sinais Biomédicos,Eletiva,72,Análise de Sinais,nan,,
200,Processamento de Termofixos e Elastômeros,Eletiva,36,Materiais Poliméricos,nan,,
201,Processamento de Termoplásticos,Eletiva,72,Materiais Poliméricos,IMPAR,,
202,Processos Estocásticos,Eletiva,72,Probabilidade,nan,,
203,Programação Concorrente e Distribuída,Eletiva,72,Sistemas Operacionais,nan,,
204,Programação Orientada a Objetos,Eletiva,72,Algoritmos e Estruturas de Dados I,nan,,
205,Programação Paralela e Processamento de Alto Desempenho,Eletiva,72,Programação Concorrente e Distribuída,nan,,
206,Projeto de Sistemas Digitais,Eletiva,72,Lógica de Programação; Arquitetura e Organização de Computadores,nan,,
207,Projeto e Análise de Algoritmos,Eletiva,72,Matemática Discreta; Algoritmos e Estruturas de Dados II,nan,,
208,Projeto Orientado a Objetos,Eletiva,72,Programação Orientada a Objetos,IMPAR,,
209,Projetos em Engenharia de Computação,Eletiva,36,Não há,nan,,
210,Propriedades e Produtos Cerâmicos,Eletiva,72,Materiais Cerâmicos,nan,,
211,Proteômica,Eletiva,72,Bioquímica Analítica; Introdução à Bioinformática,nan,,
212,Qualidade,Eletiva,36,Probabilidade e Estatística,nan,,
213,Química Analítica,Eletiva,72,Química Geral; Química Geral Experimental,nan,,
214,Química Geral,Fixa,72,Não há,IMPAR,,
215,Química Geral Experimental,Eletiva,72,Não há,nan,,
216,Química Inorgânica,Eletiva,72,Química Geral,IMPAR,,
217,Química Medicinal I,Eletiva,72,Bioquímica I,nan,,
218,Química Medicinal II,Eletiva,72,Química Medicinal I,nan,,
219,Química Orgânica,Eletiva,72,Química Geral,IMPAR,,
220,Química Orgânica Experimental,Eletiva,72,Química Geral; Química Geral Experimental,nan,,
221,Realidade Virtual e Aumentada,Eletiva,72,Algoritmos e Estruturas de Dados I,nan,,
222,Recuperação de Informação Multimídia,Eletiva,72,Algoritmos e Estruturas de Dados I,nan,,
223,Redes de Computadores,Eletiva,72,Programação Orientada a Objetos,nan,,
224,Relações Étnico-Raciais e Cultura Afro-Brasileira e Indígena,Eletiva,36,Não há,nan,,
225,Reologia dos Materiais,Eletiva,36,Materiais Poliméricos; Ciência e Tecnologia dos Materiais,IMPAR,,
226,Resistência dos Materiais,Eletiva,72,Mecânica Geral,IMPAR,,
227,Segurança Computacional,Eletiva,72,Sistemas Operacionais,IMPAR,,
228,Seleção de Materiais,Interdisciplinar,36,Ciência e Tecnologia dos Materiais.,nan,,
229,Seminários Interdisciplinares,Eletiva,36,Não há,IMPAR,,
230,Séries e Equações Diferenciais Ordinárias,Eletiva,72,Cálculo em Uma Variável,nan,,
231,Séries Temporais e Previsões,Interdisciplinar,72,Inferência e Análise de Regressão,nan,,
232,Simulação de Sistemas,Interdisciplinar,72,Lógica de Programação; Probabilidade,nan,,
233,Síntese de Polímeros,Eletiva,72,Química Orgânica,IMPAR,,
234,Sistemas Distribuídos,Eletiva,72,Sistemas Operacionais,nan,,
235,Sistemas Embarcados,Eletiva,72,"AlgoritmoseEstruturasdeDadosI;ArquiteturaeOrganizaçãode
Computadores",IMPAR,,
236,Sistemas Mecânicos,Eletiva,72,Mecânica Geral,nan,,
237,Sistemas Operacionais,Eletiva,72,Algoritmos e Estruturas de Dados I,IMPAR,,
238,Sistemas Robóticos,Eletiva,72,Algoritmos e Estruturas de Dados I; Fenômenos Mecânicos,nan,,
239,Técnicas Experimentais,Eletiva,72,Ciência e Tecnologia dos Materiais,IMPAR,,
240,Tecnologia e Meio Ambiente,Interdisciplinar,36,Não há,IMPAR,,
241,Tecnologia em Tintas e Vernizes,Eletiva,36,Materiais Poliméricos,nan,,
242,Tecnologia Social: Práxis e Contra-Hegemonia,Interdisciplinar,36,Não há,nan,,
243,Tecnologias Assistivas,Eletiva,72,Anatomia; Fisiologia Humana,nan,,
244,Teoria das Finanças,Eletiva,36,Não há,nan,,
245,Teoria dos Grafos,Eletiva,72,Projeto e Análise de Algoritmos,IMPAR,,
246,Teoria dos Números e Criptografia,Interdisciplinar,72,Matemática Discreta,IMPAR,,
247,Teorias Administrativas,Eletiva,36,Não há,nan,,
248,Termodinâmica dos Sólidos,Eletiva,72,Química Geral,nan,,
249,Termodinâmica Química,Eletiva,72,Química Geral; Cálculo em Uma Variável,nan,,
250,Tópicos em Ciência e Tecnologia I,Interdisciplinar,36,Não há,nan,,
251,Tópicos em Ciência e Tecnologia II,Interdisciplinar,36,Não há,nan,,
252,Tópicos em Ciência e Tecnologia III,Interdisciplinar,36,Não há,nan,,
253,Tópicos em Ciência e Tecnologia IV,Interdisciplinar,36,Não há,nan,,
254,Tópicos em Fundamentos da Computação I,Eletiva,72,Algoritmos e Estruturas de Dados I,nan,,
255,Tópicos em Fundamentos da Computação II,Eletiva,72,Algoritmos e Estruturas de Dados I,nan,,
256,Tópicos em Matemática Computacional I,Eletiva,72,Não há,nan,,
257,Tópicos em Matemática Computacional II,Eletiva,72,Não há,nan,,
258,Tópicos em Tecnologia da Computação I,Eletiva,72,Algoritmos e Estruturas de Dados I,nan,,
259,Tópicos em Tecnologia da Computação II,Eletiva,72,Algoritmos e Estruturas de Dados I,nan,,
260,Tópicos Interdisciplinares em Computação I,Interdisciplinar,36,Lógica de Programação,nan,,
261,Tópicos Interdisciplinares em Computação II,Interdisciplinar,36,Lógica de Programação,nan,,
262,Tópicos Interdisciplinares em Computação III,Interdisciplinar,36,Algoritmos e Estrutura de Dados I,nan,,
263,Tópicos Interdisciplinares em Computação IV,Interdisciplinar,36,Algoritmos e Estrutura de Dados I,nan,,
264,Topologia Geral,Eletiva,72,Matemática Discreta,nan,,
265,Transdução de Grandezas Biomédicas,Eletiva,72,Circuitos Elétricos,IMPAR,,
266,Tratamentos Térmicos,Eletiva,36,Materiais Metálicos,nan,,
267,Validação e Verificação de Software,Eletiva,72,Engenharia de Software,IMPAR,,
268,"Vidros, Vitrocerâmicos e Vidrados",Eletiva,72,Materiais Cerâmicos,nan,,
