Nome da UC,Categoria,CH – Total,Pré-Requisitos,Some Text
Laboratório de Microbiologia,,,,,Interdisciplinar,36,Microbiologia Geral,,Some Text
Laboratório de Sistemas Computacionais: Arquitetura,e,Organização,,de,,,Arquitetura e Organização de Computadores; Laboratório de,Sistemas,Some Text
,,,,,Eletiva,72,,,Some Text
Computadores,,,,,,,Computacionais: Circuitos Digitais,,Some Text
Laboratório de Sistemas Computacionais: Circuitos Digitais,,,,,Eletiva,36,Circuitos Digitais,,Some Text
,,,,,,,Compiladores; Laboratório de Sistemas Computacionais: Engenharia,de,Some Text
Laboratório de Sistemas Computacionais: Compiladores,,,,,Eletiva,72,,,Some Text
,,,,,,,Sistemas,,Some Text
,,,,,,,Laboratório de Sistemas Computacionais: Arquitetura e Organização,de,Some Text
Laboratório de Sistemas Computacionais: Engenharia de Sistemas,,,,,Eletiva,36,,,Some Text
,,,,,,,Computadores,,Some Text
,,,,,,,Redes de Computadores; Laboratório de Sistemas Computacionais: Sistemas,,Some Text
Laboratório de Sistemas Computacionais: Redes de Computadores,,,,,Eletiva,36,,,Some Text
,,,,,,,Operacionais,,Some Text
,,,,,,,Sistemas Operacionais; Laboratório de Sistemas Computacionais:,,Some Text
Laboratório de Sistemas Computacionais: Sistemas Operacionais,,,,,Eletiva,72,,,Some Text
,,,,,,,Compiladores,,Some Text
Laboratório de Usabilidade na Web,,,,,Eletiva,72,Programação Orientada a Objetos,,Some Text
Legislação Ambiental e Políticas Públicas,,,,,Eletiva,72,Não há,,Some Text
Linguagens Formais e Autômatos,,,,,Eletiva,72,Matemática Discreta; Lógica de Programação,,Some Text
Lógica de Programação,,,,,Fixa,72,Não há,,Some Text
Macroeconomia,Eletiva,36,Não há,Some Text
Matemática Discreta,Eletiva,72,não há,Some Text
Matemática Geral,Eletiva,72,Cálculo em Uma Variável,Some Text
Materiais Cerâmicos,Eletiva,72,Ciência e Tecnologia dos Materiais,Some Text
Materiais Compósitos,Eletiva,72,Ciência e Tecnologia de Materiais,Some Text
Materiais Elétricos,Eletiva,72,Fenômenos Eletromagnéticos,Some Text
Materiais Metálicos,Eletiva,72,Ciência e Tecnologia dos Materiais,Some Text
Materiais Poliméricos,Eletiva,72,Ciência e Tecnologia de Materiais,Some Text
Matérias-Primas Cerâmicas,Eletiva,72,Materiais Cerâmicos,Some Text
Mecânica da Fratura,Eletiva,72,Fundamentos de Metalurgia II,Some Text
Mecânica Geral,Eletiva,72,Geometria Analítica; Fenômenos Mecânicos,Some Text
Metalurgia do Pó,Eletiva,36,Fundamentos de Metalurgia I,Some Text
Metalurgia Extrativa,Eletiva,36,Não há,Some Text
Metodologia da Pesquisa e Comunicação Científica,Eletiva,36,Não há,Some Text
Métodos Avançados em Processamento de Imagens Biomédicas,Eletiva,72,Análise de Sinais,Some Text
Métodos Matemáticos,Eletiva,72,Cálculo em Várias Variáveis; Séries e Equações Diferencias Ordinárias,Some Text
Métodos Numéricos para Equações Diferenciais,Interdisciplinar,72,Cálculo Numérico; Álgebra Linear; Séries e Equações Diferenciais Ordinárias,Some Text
Métodos Probabilísticos em Pesquisa Operacional,Interdisciplinar,72,Probabilidade e Estatística; Otimização Linear,Some Text
Microbiologia Aplicada e Industrial,Eletiva,72,Microbiologia Geral,Some Text
Microbiologia Geral,Eletiva,72,Não há,Some Text
Microeconomia,Eletiva,36,Não há,Some Text
Modelagem Computacional,Interdisciplinar,36,Lógica de Programação; Cálculo em Uma Variável,Some Text
Modelagem Molecular,Eletiva,72,Biologia Estrutural,Some Text
Modelos Animais,Eletiva,72,Biotecnologia Animal,Some Text
Modelos Lineares Generalizados,Eletiva,72,Probabilidade,Some Text
Mudança do Clima e Sociedade,Interdisciplinar,36,Não há,Some Text
Multimídia,Eletiva,72,Algoritmos e Estruturas de Dados I,Some Text
Operações Unitárias,Eletiva,72,Fenômenos de Transporte,Some Text
Organização Industrial,Eletiva,36,Cálculo em Várias Variáveis,Some Text
Otimização Inteira,Interdisciplinar,72,Otimização Linear,Some Text
Otimização Linear,Eletiva,72,Geometria Analítica; Lógica de Programação,Some Text
Otimização Não Linear,Eletiva,72,Cálculo em Várias Variáveis; Cálculo Numérico,Some Text
Paradigmas de Programação,Eletiva,72,Programação Orientada a Objetos,Some Text
Planejamento de Experimentos,Eletiva,36,Probabilidade e Estatística,Some Text
Política Científica e Tecnológica (PC&T),Eletiva,36,Não há,Some Text
Probabilidade,Eletiva,72,Probabilidade e Estatística; Cálculo em Várias Variáveis,Some Text
Probabilidade e Estatística,Interdisciplinar,72,Não há,Some Text
Processamento de Imagens,Eletiva,72,Algoritmos e Estruturas de Dados I; Séries e Equações Diferenciais Ordinárias,Some Text
Processamento de Materiais,Eletiva,72,Não há,Some Text
Processamento de Materiais Cerâmicos,Eletiva,72,Materiais Cerâmicos,Some Text
Processamento de Materiais Metálicos,Eletiva,72,Fundamentos de Metalurgia I; Fundamentos de Metalurgia II,Some Text
Processamento de Sinais Biomédicos,Eletiva,72,Análise de Sinais,Some Text
